,Brand,Color,Age Range (Description),Special Feature,Weight Limit,Number of Wheels,Model Name,Wheel Material,Frame Material,Item Weight,Handlebar Type,Handle Height,Wheel Size,Wheel Type,Suspension Type,Grip Type,Brake Style,Warranty Type,Charging Time,Product Dimensions,null,Item Package Dimensions L x W x H,Package Weight,Brand Name,Warranty Description,Material,Suggested Users,Manufacturer,Part Number,Style,Included Components,Size,Sport Type,Price,Product Name,Product Rating,Recommended Uses For Product,Package Dimensions,Country of Origin,ASIN,Item model number,Batteries,Best Sellers Rank,Customer Reviews,Department,Number of Items,Item Dimensions LxWxH,Model Year,Team Name,Hand Orientation,Grip Size,Batteries required,Import,Skill Level,Deck Length,Deck Width,Load Capacity,Rotation Direction,Number Of Items,Bike Type,Manufacturer recommended age,Vehicle Service Type,Pattern,Mounting Type,Strap Type,Capacity,Closure Type,Handle Type,Shell Type,Power Source,Resistance Mechanism,Maximum Weight Recommendation,Maximum Height,Minimum Height,Number of Resistance Levels,Number of Pieces,Exterior Finish,Handle Material,Unit Count,Theme,Is Discontinued By Manufacturer,Release date,Maximum height recommendation,Material Type,Additional product features
236,OBARTER,Black,Adult,"Seat, Foldable",350 Pounds,2,OBARTER-X7,Rubber,,1000 Pounds,,,14 Inches,Solid,Dual Suspension,,Rear Braking,,12 Hours,,125 Miles,,,OBARTER,1 years,Iron,Unisex-adult,"Dongguan Lvkang Energy Saving Technology Co., LTD",,With seat,"One electric scooter, A kit, A charger adapter, Two charger, A specification",,,"3,299","Electric Scooter, Adult high Power Dual Motor Professional Folding Off Road 14inch Fat tire Large Two Wheeled Vehicle,OBARTER X7,8000W 60AH60V,Ideal Condition Speed 56MPH,Range 125 Miles",2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,HOSYSA,Black,Adult,Foldable,880 Pounds,2,LY1,Rubber,Aluminum,121 Pounds,Adjustable,,11 Inches,Off-road vacuum tires,Air Suspension,Ergonomic,Hydraulic disc brake + 160MM disc brake disc with EBAS electronic brake,,8 Hours,"48""L x 11""W x 51""H",65 Mils,52.25 x 20.5 x 14 inches,54.89 Kilograms,HOSYSA,1-year warranty,Aluminum,Unisex-adult,HOSYSA,,60V38AH 60 Miles Range,,X-Large,,"1,831","HOSYSA Electric Scooter for Adults,60MPH & 65 Miles Range,Total Power 6000W,60V Dual Drive,Foldable Off-Road Electric Scooter Adults with Removable Seat,(60V38AH 65 Miles Range)",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,LEQISMART,Black,Adult,"8.5"" Pneumatic Tires, 350W Motor, Foldable & Portable, Dual Brake System, 270Wh Battery",220 Pounds,2,S11,Rubber,Aluminum,29.3 Pounds,,,8.5 Inches,Pneumatic,Dual Suspension,Ergonomic,Rear Braking,Limited,4.5 Hours,,17 Miles,44.5 x 22.4 x 7.5 inches,16.47 Kilograms,LEQISMART,One Year Warranty,"Alloy Steel, Aluminum, Carbon Steel, Carbon Fiber","Unisex-Youth, Unisex- Adults Unisex-Teens","ShenZhen LEQI Intelligent Technology Co., Ltd",S11,casual,"charger, manual",,Riding,349,"LEQISMART Electric Scooter Adults, 350W Motor & 15.5MPH, 8.5"" Pneumatic Tires, 12-17 Miles Range E Scooter with 270Wh Battery, Foldable Commuting Electric Scooter for Adults",4.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Mogorle,,,"Rechargable, Colorfast, Lights, Folding, LCD-Display",264 Pounds,2,m365,Rubber,,,,45.3 Inches,8.5 Inches,Solid tyre,,Foldable,Rear disc brake + front e-brake,180 days for different parts replacement,,"45.3""L x 41.3""W x 17.3""H",,43.3 x 20.5 x 6 inches,26.4 Pounds,Mogorle,,Aluminum,,"ANT ZHILIAN (SHENZHEN) CO.,LTD",m365,,E-Scooter,,,289,"Mogorle Electric Scooter for Adults, E-Scooter 8.5"" High Elastic Solid Tire, 350w Motor, 19 Mph Top Speed, 22 Miles Long Range, Folding Sport Scooters for Commuting",Total price:,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,SMOOSAT,Pink,,"Lights, Foldable",132 Pounds,2,Pro,Rubber,Aluminum,6500 Grams,Adjustable,36 Inches,6 Inches,Solid,,,Rear Braking,,,,,31 x 12 x 6.2 inches,7.26 Kilograms,SMOOSAT,180-day warranty,Aluminum,Unisex-teen,SMOOSAT,,,"Quick Start Guide, Owner's Manual, PRO Kids Electric Scooter, Charger, 180-day Warranty and Lifetime Expert Tech Support, 5mm Allen Wrench",,,189,"SmooSat Pro Electric Scooter for Kids, Colorful Rainbow Light, LED Display, Adjustable Speeds and Heights, Foldable E-Scooter for Ages 8 and Up",1.5,,,,,,,,,,,29.53 x 9.84 x 5.51 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Gobazaar,Blue,Toddler,"Non Slip Deck, Adjustable Handlebar Height, Wide Platform, Foldable, Light Up Wheels",110 Pounds,3,,Rubber,,10 Pounds,Adjustable,31.5 Inches,4.5 Inches,Soild Rubber,NO Suspension,Ergonomic,Rear Braking,One-year warranty for different parts,3 Hours,,8 Miles,25.25 x 13.87 x 7.93 inches,4.63 Kilograms,Gobazaar,1 YEAR,Aluminum,,"Dongguan Ledi Intelligent Technology Co., Ltd",PG-K3,,"1*Tools for Screws, 1*English Instruction Manual, 1*Charger, 1*Blue K3 Electric Scooter",,,129,"Electric Scooter for Kids Gobazaar, LED Light-up Wheels, 3 Height Adjustable, C-Shaped Handle, Lean-to Steer Design, 3 Wheel Scooter for Kids 2-10Y, Best Children's Gifts",4.5,,,,,,,,,,1,26 x 8.5 x 20.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,TOMOLOO,Cool Black,Adult,"Inner Honeycomb Shock Absorbing No-Pneumatic Tires, Power Recovery System, Fixed Speed Cruise, Wide Platform, Foldable",220.5 Pounds,2,L1 PRO,Rubber,Aluminum,33 Pounds,Fixed,20.47 Inches,8.5 Inches,Solid,Rear Suspension,Contoured,Mechanical Brake,Limited,,,21.74 Miles,45 x 23 x 8 inches,14.97 Kilograms,TOMOLOO,3 months only to replace not repair,Alloy Steel,Unisex-adult,Shenzhen Tomoloo Technology Industrial Co Ltd,L1-PRO,The seven-color running lights on both sides of the pedal make the product much more recognizable,,,,279,"TOMOLOO Electric Scooter for Adults-8.5"" Honeycomb Tires, Portable Folding Commuter, Double Shock Absorption,21.7 Miles Long-Range Battery E Scooters(UL Safety Certified)",Battery not what it says.,"Off Road, Outdooring, Commuting",,,,,,,,,,44.09 x 20.07 x 50.59 inches,2022,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,EMOKO,With Seat,Adult,"Seat, Dual Braking System, Cruise Control, Adjustable Handlebar Height, Foldable",180 Kilograms,1,HVD-3,Rubber,Alloy Steel,23.6 Kilograms,Adjustable,123 Centimeters,10 Inches,Solid,Dual Suspension,,"Front Braking, Rear Braking",Limited,6 Hours,,55 Kilometers,45.28 x 16.93 x 12.2 inches,27.8 Kilograms,EMOKO,"1. Support one week of full refund and free return without reason. 2. Support one month free return of manufacturing process or material defects. 3. Support one month to one year warranty for different parts. 12-month warranty on motors, motors, handlebars, chargers, controllers and voltage locks; 6 months on battery; Consumables are not covered by the warranty if they are damaged. (such as brake pads, tires, tires, etc.). Unless it is transport damage 4. Support lifetime technical support. Any defective questions, welcome email us with pictures or videos for free replacement, refund or repaid label for return. 5. For no defective and beyond 2 weeks return, We may charge a little bit fee at our discretion.","Aluminum, Alloy Steel",Unisex-adult,"Shenzhen Huopingguo Technology Co., LTD.",HVD-3,Daily commuting electric scooter for adults with seat,"User Manual, Install Tools, Electric scooter with seat, Charger",,,599,"Electric Scooter Adults 30 MPH & 35 Miles by 800w, 10"" Off-Road Tires, Dual Disk Brake System & Shock Absorption, Folding Commuter Electric Scooter with Seat for Adults",4.4,"Off Road, Commuting",,,,,,,,,1,46 x 24 x 47 inches,,EMOKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,ROXAAN,Black-Gray,Adult,"Anti-Puncture Tire, Digital Display, Dual Braking System, Foldable, Rechargeable",220 Pounds,2,T1,Rubber,Alloy Steel,26 Pounds,Fixed,41.3 Inches,8.5 Inches,Solid,Rear Suspension,,Rear Braking,Limited,5 Hours,,25 Miles,42.92 x 21.06 x 5.91 inches,33.5 Pounds,ROXAAN,3 Months Warranty,Alloy Steel,Unisex-adult,"DONGGUAN YUSHUI TECH CO., LTD",,,"User Manual, Screws, Hex Wrench, Charger",,,283,"Adults Electric Scooter Max Load 220LB, 350W Motor Folding Commuting Scooter - 8.5"" Solid Tires, 20 Miles Range, 15.5MPH, Portable Powered Kick E-Scooter with Double Braking System and App Control",3.8,,,,,,,,,,1,41.3 x 17 x 41.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Razor,Black,Adult,"Portable, Lights, Foldable",220 Pounds,2,Razor Jr,Polyurethane,"Aluminum Fork:Steel Grips:“Prism” design, molded in soft rubber",24.2 Pounds,The height of the handlebars is not adjustable,40.94 Inches,1 Millimeters,Solid,"Electronic, thumb-activated paddle and rear-fender controlled",,Rear Braking,90-day Warranty,6 Hours,,15 Miles,35.6 x 14.2 x 7.3 inches,13.47 Kilograms,Razor,Manufacturer Warranty,Aluminum,Unisex-adult,"Razor USA, LLC",13111818,E Prime 3,Razor Electric Scooters - E Prime III Electric Scooter,One Size,Outdoor Lifestyle,406,Razor E Prime Electric Scooter for Teens and Adults,& FREE Shipping,,,,,,,,,,1,36 x 7 x 14.5 inches,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Gyroor,4-Orange,Adult,"Lights, Adjustable Handlebar Height",177 Pounds,2,H40,Rubber,,17.2 Pounds,Adjustable,39.4 Inches,6.5 Inches,Solid,,,"Rear Braking, Front Braking",Limited,2 Hours,,,34.15 x 15.8 x 6.45 inches,9.03 Kilograms,Gyroor,180 days,Aluminum,Unisex-teen,Gyroor,H40,Scooter,"Electric Scooter, Charger, screws",,,232,"Gyroor Kids Electric Scooter, with 200W Motor & LED Visible Display, Colorful Lights, Adjustable Speed and Height, 10 Mph & 10 Miles Range Electric Scooter, Electric Scooter for Kids Ages 8-12, Orange",4.4,,,,,,,,,,,34.15 x 15.8 x 6.45 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,JOYOR,Y7-S black,Adult,Foldable,265 Pounds,2,Y7-S,Polyurethane,,,Adjustable,,10 Inches,Off-Road,Dual Suspension,,"Rear Braking, Front Braking",,10 Hours,"45.3""L x 23.6""W x 49.2""H",56 Miles,45.59 x 18.35 x 10 inches,28.78 Kilograms,JOYOR,,,,"Jinhua Joyor Vehicle Co.,Ltd",Y7-S,,,,,688,"JOYOR Y7-S Electric Scooter for Adults, Max 31 MPH and 43.5-56 Miles Long-Range, Dual Suspension, 10 Inch Off-Road Tires Foldable Electric Scooter for Commute and Travel",3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Isinwheel,,,"Portable, Adjustable Handlebar Height",,2,,Rubber,Aluminum,,Adjustable,,,Solid,Dual Suspension,,,,,,,,,Isinwheel,,,,,,S9Pro Electric Scooter with Seat,,,,,isinwheel S9Pro Electric Scooter 18 Miles Long Range with Seat,Total price:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Razor,Black,Adult,Lights,1.1 Pounds,2,C35,Polyurethane,Alloy Steel,32.4 Pounds,Adjustable,,1.1 Inches,Solid,Front Suspension,,Rear Braking,Limited,,"45""L x 17.4""W x 44.2""H",18 Miles,45.5 x 23 x 6.5 inches,22.68 Kilograms,Razor,90 Day limited,Alloy Steel,unisex-adult,RAZOR USA,C35,,C35 Electric Scooter - Black - ISTA,,,504,"Razor C35 Electric Scooter – Up to 18 MPH, Up to 18 Miles Range, Foldable & Portable, Adult Electric Scooter for Commute & Recreation",& FREE Shipping,,,,,,,,,,1,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Gyroor,1-Blue,Teen; Kid,"Lights, Adjustable Handlebar Height",177 Pounds,2,H40,Rubber,,17.2 Pounds,Adjustable,39.4 Inches,6.5 Inches,Solid,,,"Rear Braking, Front Braking",Limited,2 Hours,,10 Miles,34.3 x 15.25 x 6 inches,8.64 Kilograms,Gyroor,180 days,Aluminum,unisex-teen,Gyroor,H40,Scooter,"Electric Scooter, Charger, screws",,,259,"Gyroor Kids Electric Scooter, with 200W Motor & LED Visible Display, Colorful Lights, Adjustable Speed and Height, 10 Mph & 10 Miles Range Electric Scooter, Electric Scooter for Kids Ages 8-12, Blue",4.4,,,,,,,,,,,33.9 x 15.6 x 6.7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,iENYRID,Black,Adult,"SMART-Do Intelligent Control, Adjustable Handlebar Height, Foldable, Detachable Seat",150 Kilograms,2,iE-M4 Pro,Rubber,,44 Pounds,Adjustable,,10 Inches,Pneumatic,Dual Suspension,,Front Braking,,8 Hours,,30 Miles,,,iENYRID,1 Year Manufacturer,Aluminum,unisex-adult,"Shenzhen Tianshengle Robot Co.,Ltd.",,,Charger,,Skating,539,"e Scooter for Adults, iENYRID M4 Electric Scooter 600W Adult Scooter Motorized Kick Scooter 10 Inch Off-Road Tires E-Scooter Up to 28mph, 22 Miles Long Range Mobility Eletric Scooter",3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,I INMOTION,Black,Adult,"Dual Suspension, long range electric scooter, Foldable, Super Long Mileage",300 Pounds,2,S1 Scooter,Rubber,Aluminum,65 Pounds,Adjustable,50.2 Inches,10 Inches,Pneumatic,Dual Suspension,,"Front Braking, Rear Braking","INMOTION is committed to providing consumers with exceptional service, offering a one-year warranty on all components except for the battery, which is covered by a six-month warranty.",3.5 Hours,"51.45""L x 20.47""W x 50.2""H",59 Miles,47 x 22.3 x 9.9 inches,29.48 Kilograms,I INMOTION,"INMOTION is committed to providing consumers with exceptional service, offering a one-year warranty on all components except for the battery, which is covered by a six-month warranty.","Polypropylene, Aluminum, Plastic, Iron",unisex-adult,INMOTION,,Sports & Outdoors,"Accessories, 1 x Unboxing Instruction Manual, 1 x User Manual, 1 x Electric Scooter",,"Cycling, Climbing",899,Scooter for Big and Tall People - Electric Scooter for Adults 300lbs - Inmotion S1,4.0,,,,,,,,,,1,,,Inmotion S1 Electric Scooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,AJOOSOS,Black,Adult,"Removable Seat, Hydraulic Shock Absorption, 11 Inch Off-Road Tire, Wide Platform, 53 MPH Top Speed",400 Pounds,2,X60,Rubber,Aluminum,100 Pounds,Adjustable,50 Inches,11 Inches,Pneumatic,Dual Suspension,,Dual Braking,Limited,8 Hours,"48.8""L x 24.4""W x 50""H",60 Miles,51.97 x 19.29 x 12.6 inches,110 Pounds,AJOOSOS,6 month,Aluminum,Unisex-adult,AJOOSOS,X60,All-season,"User Manual, Toolkits, Electric scooter with seat, Charger, Remote Controller",,Riding,"1,549","AJOOSOS X60 Electric Scooter Adults 50-53 MPH Fast Speed, 60V 6000W Dual Motor, 60 Miles Long Range, Hydraulic Damping, 11” Off-Road Tires, 400 LBS Weight Limit, Foldable Electric Scooter with Seat",4.5,"Off Road, Commuting",,,,,,,,,1,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,EFGTEK,5600W Motor,,Wide Platform,149.99 Kilograms,2,ES06,Aluminum,Aluminum,27.99 Kilograms,,,11 Inches,Pneumatic,Dual Suspension,,"Dual Brakes,Electronic Controller",Limited,,"52.8""L x 10""W x 52.4""H",,,33 Kilograms,EFGTEK,"Ship from California,Delivery Time is about 3 Days to 7 Days.Detailed support contact EFGTEK USA SERVICE TEAM.180 Days free change for Motor Motor hub Controllers Chargers Lithium ion battery Frame Handlebar LED front lights Throttle Scooter stem Forks LCD display",Aluminum,Unisex-adult,EFGTEK,ES06,All-season,,,Skating,"1,399","Off Road Electric Scooter for Adults,EFGTEK 33 Mph to 52 Mph 2800W Single Motor/5600W Dual Motor Sports 11 Inch Vacuum Tires 60V 15Ah/28Ah Foldable E-Scooter with Despatchable Seat",Total price:,,,,,,,,,,1,,2023,EFGTEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,elecorange,Pink,Little Kid,"Flashing deck, Compact folding design, Easy-to-use thumb button throttle, Three wider wheels with LED lights",130 Pounds,3,T300,Polyurethane,Aluminum,9 Pounds,Adjustable,30 Inches,5 Inches,Solid,,,Rear Braking,Limited,3 Hours,"26""L x 13.5""W x 7.5""H",,26 x 13.5 x 7.5 inches,6.12 Kilograms,elecorange,,plastic,,elecorange,eo-t300-pink,,,,,199,"Elecorange Kid Electric Scooter, Safe Wide Light Up Deck & Wide Wheels, Reliable Thumb Throttle, 3 Adjustable Height, 5Mph Safe Speed, 60min Ride Time, Lightweight, Foldable, Scooter for Kids Ages 3-9",3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Phantomgogo,Black,Adult,Lights,264 Pounds,2,EB08 Electric Scooter,Rubber,Aluminum,33 Pounds,,,8.5 Inches,Pneumatic,,,Rear Braking,,,,,43.5 x 22 x 6.5 inches,16.67 Kilograms,Phantomgogo,90-Day Warranty,Alloy Steel,Unisex-adult,SHENZHEN LEQI INTELLIGENT TECHNOLOGY CO LTD,,,Electric scooter,,,259,Electric Scooter for Adults and Kids Quick Folding IPX5 15.5 mph Max Speed 28 Miles Long-Range Battery with 350W Motor E-Scooter for Commuter (Black),& FREE Shipping,,,,,,,,,,,41 x 6.1 x 42 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Hover-1,Pink,Kid,"Lights, Lightweight, Foldable",132 Pounds,2,H1-FLR,Stainless Steel,,22 Pounds,Adjustable,,6 Inches,Solid,Front Suspension,Contoured,Rear Braking,90 days,6 Hours,"33.8""L x 14.1""W x 37.4""H",3 Miles,34.5 x 13.25 x 7.1 inches,10.75 Kilograms,Hover-1,90 days,"Aluminum, Plastic",unisex-teen,DGL Group,H1-FLREBLK,,"Manual, Charger, Hover-1 Flare Folding Electric Scooter",(W) 33.8×(D)14.1×(H)37.4 inch,,119,"Hover-1 Flare Electric Scooter | 8MPH, 3M Range, 6HR Charge, Speed-Battery Indicator, 6 Inch Front & 5.5 Inch Back Solid Tires, 132 LB Max Weight, Cert. & Tested - Safe for Kids",& FREE Shipping,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Swagtron,Cotton Candy Pink,5-9 Years,Adjustable Handlebar Height,143 Pounds,2,SK1,Polyurethane,Aluminum,8 Pounds,Adjustable,33 Inches,,Solid,,,Rear Braking,Limited,3 Hours,,,26 x 13 x 6 inches,4.45 Kilograms,Swagtron,90 Days Manufacturer,Aluminum,unisex-teen,SWAGTRON,SK1,,"SWAGTRON electric scooter, Charger, User manual",Adjustable,,79,"Swagtron SK1 Electric Scooter for Kids with Kick-Start Motor, ASTM Certified, Durable Steel Frame",4.4,,,,,,,,,,1,23.23 x 12.13 x 31.34 inches,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Razor,Betty,Adult,"Seat, Lights",220 Pounds,2,pocket mod,Pneumatic,Carbon Steel,50.5 pounds,Adjustable,9 Inches,12 Inches,Solid,Rear Suspension,,Rear Braking,90-day Warranty,12 Hours,"50""L x 18""W x 19""H",16 Kilometers,,,,,,,"Razor USA, LLC",,,,,,314,Razor Pocket Mod Miniature Euro-Style Electric Scooter - Betty 12 in. (Front Wheel),4.6,,,China,B000I44P90,15130661,2 12V batteries required. (included),"#14,681 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#84 in Sport Scooters","4.6
2,910 ratings
4.6 out of 5 stars",unisex-adult,,,,,,,,,,,,,,,,13 years and up,,,,,,,,,,,,,,,,,,,,No,,,,
260,ATK,Black,Adult,"Lights, Lightweight, Foldable",220 Pounds,2,ATK H8,Alloy Steel,,33 Pounds,Adjustable,,10.1 Inches,Pneumatic,,,"Front Braking, Rear Braking",Limited,4 Hours,,28 Miles,44 x 19 x 7 inches,35 Pounds,ATK,6 month,Aluminum,unisex-adult,Autotecnika,ATKH8-0001,,Battery charger,Medium,,599,ATK H8 Adults Electric Scooter - up to 16 Mph Speed - 350W Powered Motor Commuting Electric Scooter - Foldable Bike with Battery Power - 10'' Tires - up to 28 Miles Range - Waterproof IP54,5.0,,,,,,,,,,,42 x 17 x 18 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Jetson,Black,Adult,"Lightweight, Foldable",220 Pounds,2,Eris Folding Electric Scooter-Adult Scooter-Phone Holder-LCD Display-Motorized Scooter,Rubber,,30 Pounds,Foldable,41.28 Inches,8.5 Inches,Inline,,,,,5 Hours,"41.5""L x 17.1""W x 45.2""H",12 Miles,44.25 x 21 x 11 inches,17.15 Kilograms,Jetson,1 Year,Aluminum,Unisex-adult,Jetson Electric Bike,JERIS-BLK,,Jetson Eris Folding Electric Scooter,,,399,Jetson Eris Folding Adult Electric Scooter - with Phone Holder and LCD Display,& FREE Shipping,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Hover-1,Black/Red,Adult,"Non Slip Deck, Foldable",220 Pounds,2,Night Owl,Aluminum,,57.3 Pounds,Adjustable,47 Inches,10.5 Inches,Pneumatic,Dual Suspension,,"Front Braking, Rear Braking",Limited,12 Hours,"47""L x 26""W x 50""H",37 Miles,47 x 22 x 11 inches,31.75 Kilograms,Hover-1,"Parts and Labor, 90 Days Manufacturer's Warranty",Aluminum,Unisex-adult,DGL Group,H1-NTL-BLK,,"Electric Scooter with Rechargeable Battery, Charger/Power Cord, Manual",,"Cycling, Skating","1,314","Hover-1 Night Owl Electric Folding Scooter, 31 MPH Top Speed, 37 Mile Range, 1400 Watts Max Power, 10.5” Offroad Tires, Dual Disc Brakes, and Front and Rear Suspension",3.6,,,,,,,,,,1,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Razor,Black,Adult,Wide Platform,220 Pounds,2,Ecosmart,Rubber,Alloy Steel,62.7 Pounds,Adjustable,43.5 Inches,16 Inches,Pneumatic,,,Rear Braking,,60 minutes,"25.2""L x 12.99""W x 51.97""H",12 Miles,50 x 24 x 12 inches,35.83 Kilograms,Razor,90 day Limited Manufacturer,Alloy Steel,unisex-adult,"Razor USA, LLC",13114510,Sup Stand-up,"Ecosmart Scooter, Charger, Manual",One Size,Outdoor Lifestyle,479,"EcoSmart SUP Electric Scooter – 16"" Air-Filled Tires, Wide Bamboo Deck, 350w High-Torque Hub-Driven Motor, Up to 15.5 mph & 15.5 Miles Range, Rear-Wheel Drive",4.3,,,,,,,,,,1,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,RCB,Black-2,Adult,Wide pedal,330 Pounds,2,R10X,Polyurethane,,48 Pounds,Fixed,45.94 Inches,10 Inches,Solid,Dual Suspension,Left +Right,Rear Braking,,6 Hours,"46.69""L x 20""W x 45.94""H",25 Miles,46.75 x 21.75 x 8.12 inches,25.4 Kilograms,RCB,1,Alloy Steel,Unisex-adult,"SHENZHEN SHINDOM TECHNOLOGY CO.,LTD",R10X,,"Body Frame, Wheels, Charger, Left +Right",,Skateboarding,649,"RCB Electric Scooter Adults, 500W Motor &18 MPH, W. Capacity 330lbs, Double Shock Absorption, Portable Folding Commuting Electric Scooter for Adults 20-25 Miles Long Range & 10"" Inner Honeycomb Tires",4.0,,,,,,,,,,1,,,RCB,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,HUDORA,Pink,kid,Adjustable Handlebar Height,220 Pounds,2,scooters,Polyurethane,Aluminum,4.17 Kilograms,,41 Inches,8 Inches,Solid,Dual Suspension,Contoured,Rear Braking,Limited,12 Hours,,,36.5 x 13.2 x 9.5 inches,4.81 Kilograms,HUDORA,limited,Aluminum,unisex-teen,HUDORA,205-14709,sports,scooter,8 INCH,"Cycling, scooter",72,"HUDORA Scooter for Kids Ages 6-12 - Scooter for Kids 8 Years and Up, Scooters for Teens 12 Years and Up, Adult Scooter with Big Wheels, Lightweight Durable All-Aluminum Frame Scooter",,,,,,,,,,,1,35 x 13 x 41 inches,2023,Teens Scooters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,LEQISMART,Black,Adult,"8.5"" Pneumatic Tires, 350W Motor, Foldable & Portable, Dual Brake System, 270Wh Battery",220 Pounds,2,S11,Rubber,Aluminum,29.32 Pounds,,,8.5 Inches,Pneumatic,Dual Suspension,Ergonomic,Rear Braking,Limited,4.5 Hours,,17 Miles,44.5 x 22.4 x 7.5 inches,16.47 Kilograms,LEQISMART,One Year Warranty,"Alloy Steel, Aluminum, Carbon Steel, Carbon Fiber","Unisex-Youth, Unisex- Adults Unisex-Teens","ShenZhen LEQI Intelligent Technology Co., Ltd",S11,Casual,"Manual, Charger",,Riding,349,"LEQISMART Electric Scooter Adults, 350W Motor & 15.5MPH, 8.5"" Pneumatic Tires, 12-17 Miles Range E Scooter with 270Wh Battery, Foldable Commuting Electric Scooter for Adults",4.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,RubiQ sports,,,"Portable, Lights, Foldable",,2,Q06pro,Rubber,,77.6 Pounds,,,11 Inches,Inner Tubeless Vacuum Tires,Dual Suspension,,Dual Braking,,,,,,,RubiQ sports,,,unisex-adult,"Shenzhen lvdaoxing Technology Co., Ltd.",Q06pro,,,,,"1,189","Electric Scooter Adults, Escooter 5600W Dual Motor, 47Mph Max Speed, 50 Miles Travel Range, 60V 27Ah High capcaity Battery, 11"" Vacuum Off Road Tire Foldable Scooters",Total price:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,LEQISMART,black,Adult,"Digital Display, Dual Braking System, Non Slip Deck, Cruise Control, Foldable",220 Pounds,2,A6L Pro,Rubber,Carbon Steel,36.8 pounds,Fixed,,10 Inches,Pneumatic,Dual Suspension,Ergonomic,"Front Braking, Rear Braking",Limited,4 Hours,44.1 x 17.3 x 20.6 inches,18.6 Miles,,,,One Year limited,,,"Shenzhen LEQI Intelligent Technology Co., Ltd.",,,"charger, manual",,,479,"LEQISMART Electric Scooter-10 Pneumatic Tires,18.6Miles Long Range,15.5 MPH Max Speed,350W Motor, 220lbs Weight Capacity, Dual Brakes, Foldable Electric E Scooter for Adults",4.5,,,China,B0C3LTV9KH,A6L Pro,1 Lithium Ion batteries required. (included),"#534,518 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#1,488 in Sport Scooters","4.5
28 ratings
4.5 out of 5 stars",unisex-adult,,44.1 x 17.3 x 20.6 inches,,,,,Yes,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
